epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,624.536,0.65432,1.03793,0.77081,0.92279,0,0.51864,0.48914,0.58828,0.51217,0.50698,0.48443,0.52524,0.43575,0.69094,1.6505,1.04592,0.95174,0,0.000742815,0.000742815,0.000742815
30,646.041,0.62653,0.93331,0.68461,0.90783,0,0.70557,0.60623,0.63569,0.52646,0.70311,0.59515,0.53686,0.43906,0.68954,1.52644,0.94955,0.94522,0,0.000709809,0.000709809,0.000709809
31,668.177,0.57806,0.93532,0.67887,0.89695,0,0.70588,0.68097,0.66099,0.52321,0.71221,0.59515,0.5406,0.44613,0.70692,1.45452,0.92406,0.95199,0,0.000676802,0.000676802,0.000676802
32,688.793,0.59521,0.87874,0.67347,0.88555,0,0.69204,0.66592,0.67284,0.5352,0.7145,0.59515,0.5594,0.4535,0.67098,1.52508,0.83116,0.94253,0,0.000643795,0.000643795,0.000643795
33,709.247,0.59582,0.89109,0.67445,0.89464,0,0.6984,0.70748,0.68681,0.53539,0.71237,0.59515,0.57035,0.45274,0.6572,1.50307,0.78273,0.94961,0,0.000610789,0.000610789,0.000610789
34,730.586,0.58577,0.98584,0.71817,0.90476,0,0.70379,0.68373,0.7024,0.54184,0.71071,0.59515,0.57218,0.47163,0.67508,1.36745,0.81535,0.94861,0,0.000577782,0.000577782,0.000577782
35,752.956,0.62247,0.90278,0.67214,0.89798,0,0.72612,0.65775,0.70077,0.54267,0.72259,0.60982,0.56918,0.45754,0.68386,1.29214,0.83779,0.93982,0,0.000544776,0.000544776,0.000544776
36,773.614,0.58247,0.85967,0.6582,0.87748,0,0.71587,0.67684,0.67323,0.52163,0.71706,0.61177,0.59285,0.47424,0.70451,1.31969,0.84158,0.94146,0,0.000511769,0.000511769,0.000511769
37,794.89,0.55741,0.96962,0.65722,0.88705,0,0.66123,0.67417,0.67147,0.52448,0.5984,0.61239,0.58638,0.47691,0.72942,1.33334,0.80992,0.953,0,0.000478762,0.000478762,0.000478762
38,816.157,0.55162,0.83554,0.64202,0.88369,0,0.63035,0.66794,0.68308,0.52946,0.72477,0.61095,0.61949,0.47654,0.71813,1.33786,0.79147,0.95642,0,0.000445756,0.000445756,0.000445756
39,837.05,0.61678,0.90044,0.679,0.92593,0,0.66986,0.77905,0.69904,0.56457,0.6407,0.74307,0.66224,0.51242,0.69512,1.33298,0.78369,0.95712,0,0.000412749,0.000412749,0.000412749
40,859.933,0.57871,0.90019,0.65631,0.88359,0,0.71435,0.77819,0.73778,0.60445,0.70988,0.77533,0.72695,0.54623,0.66202,1.36356,0.75179,0.93723,0,0.000379743,0.000379743,0.000379743
41,882.726,0.57135,0.83256,0.84809,0.86982,0,0.75989,0.83179,0.77641,0.61075,0.66656,0.72462,0.68844,0.51953,0.67248,1.42864,0.7526,0.94044,0,0.000346736,0.000346736,0.000346736
42,903.719,0.55326,0.81521,0.78722,0.84819,0,0.75096,0.83099,0.76325,0.61626,0.94154,0.59515,0.64693,0.49855,0.72841,1.40018,0.78465,0.96836,0,0.000313729,0.000313729,0.000313729
43,925.064,0.54106,0.78653,0.76582,0.86344,0,0.70577,0.78033,0.74569,0.61721,0.79765,0.59515,0.65438,0.50093,0.70913,1.41361,0.8245,0.95616,0,0.000280723,0.000280723,0.000280723
44,946.452,0.58095,0.79179,0.78443,0.8846,0,0.7074,0.83259,0.74026,0.59465,0.78342,0.59515,0.64655,0.49167,0.68124,1.4019,0.84026,0.94157,0,0.000247716,0.000247716,0.000247716
45,968.054,0.56571,0.83381,0.80777,0.86305,0,0.6958,0.81554,0.73625,0.58838,0.78032,0.59515,0.64199,0.4843,0.7078,1.39401,0.82704,0.96478,0,0.00021471,0.00021471,0.00021471
46,989.575,0.57036,0.86989,0.80718,0.85428,0,0.68993,0.81609,0.72898,0.59482,0.88702,0.59515,0.64711,0.49253,0.71436,1.48399,0.79385,0.98267,0,0.000181703,0.000181703,0.000181703
47,1011.36,0.58432,0.84827,0.82383,0.88398,0,0.64986,0.81962,0.73808,0.60387,0.93841,0.59515,0.65763,0.4904,0.68869,1.53355,0.7598,0.9775,0,0.000148696,0.000148696,0.000148696
48,1032.3,0.55039,0.81943,0.76412,0.86637,0,0.67949,0.77905,0.76109,0.60779,0.94962,0.59515,0.64456,0.50938,0.67586,1.54592,0.74007,0.97878,0,0.00011569,0.00011569,0.00011569
49,1053.21,0.52581,0.84021,0.72179,0.85821,0,0.74959,0.77905,0.76689,0.61699,0.95572,0.59515,0.64783,0.5246,0.66513,1.55814,0.7296,0.97271,0,8.26832e-05,8.26832e-05,8.26832e-05
50,1073.99,0.52231,0.81889,0.71907,0.87102,0,0.7201,0.79025,0.76849,0.62339,0.9578,0.59515,0.64744,0.52423,0.65644,1.53746,0.71859,0.96882,0,4.96766e-05,4.96766e-05,4.96766e-05
