epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2833,2.05461,3.24503,1.95945,0.06534,0.15224,0.04041,0.01208,1.88976,96.6077,1.74872,0.000549997,0.000549997,0.000549997
2,63.1612,2.08169,2.80621,1.96924,0.16344,0.21784,0.10257,0.03623,1.82566,130.093,1.76498,0.00109472,0.00109472,0.00109472
3,92.7034,2.07967,2.67125,2.01792,0.19116,0.20029,0.12798,0.03964,1.87814,50.392,1.87232,0.00162844,0.00162844,0.00162844
4,122.374,2.08382,2.60856,2.00637,0.13712,0.19964,0.08807,0.02939,2.0551,75.2807,1.88902,0.00161749,0.00161749,0.00161749
5,152.022,2.05498,2.53046,1.97869,0.1826,0.20414,0.10591,0.03352,1.90925,101.758,1.77881,0.00160099,0.00160099,0.00160099
6,181.947,2.02851,2.50107,1.97201,0.20554,0.24636,0.14079,0.0464,1.81075,40.3033,1.67271,0.00158448,0.00158448,0.00158448
7,211.875,2.00977,2.46503,1.93446,0.18746,0.18147,0.11194,0.03754,1.87397,78.7309,1.71712,0.00156798,0.00156798,0.00156798
8,240.889,1.98697,2.44775,1.93846,0.3021,0.24969,0.22928,0.08805,1.7057,20.3065,1.60883,0.00155148,0.00155148,0.00155148
9,270.28,1.99732,2.41205,1.91084,0.24769,0.26798,0.18093,0.06383,1.87632,25.9369,1.77756,0.00153497,0.00153497,0.00153497
10,300.368,1.97201,2.35845,1.91024,0.24679,0.2765,0.17792,0.05931,1.76101,35.3529,1.67808,0.00151847,0.00151847,0.00151847
11,329.509,1.95622,2.37138,1.89722,0.33219,0.27243,0.22855,0.0819,1.75483,7.80431,1.64028,0.00150197,0.00150197,0.00150197
12,359.451,1.94339,2.31677,1.88584,0.24251,0.24818,0.1758,0.06079,1.76699,8.33,1.64499,0.00148546,0.00148546,0.00148546
13,389.829,1.93078,2.30759,1.88169,0.25921,0.30478,0.19066,0.06487,1.77034,53.1765,1.6886,0.00146896,0.00146896,0.00146896
14,419.708,1.92765,2.28968,1.8744,0.38135,0.31885,0.2874,0.10713,1.70601,8.08997,1.57218,0.00145246,0.00145246,0.00145246
15,449.755,1.92672,2.26749,1.86574,0.36999,0.32861,0.27699,0.11168,1.66999,18.2624,1.5623,0.00143595,0.00143595,0.00143595
16,480.04,1.92022,2.25456,1.84637,0.39332,0.32827,0.26707,0.10551,1.64506,30.1326,1.52597,0.00141945,0.00141945,0.00141945
17,509.586,1.90247,2.26409,1.85835,0.38828,0.33956,0.32475,0.12771,1.62763,13.2028,1.53104,0.00140295,0.00140295,0.00140295
18,539.192,1.90717,2.24454,1.8563,0.33383,0.35802,0.30134,0.11697,1.65793,53.9212,1.56345,0.00138644,0.00138644,0.00138644
19,568.35,1.88807,2.18921,1.83334,0.41007,0.34473,0.32516,0.12691,1.64052,4.75242,1.50513,0.00136994,0.00136994,0.00136994
20,597.697,1.90661,2.22462,1.84723,0.419,0.36591,0.33417,0.13699,1.63739,5.92792,1.55626,0.00135344,0.00135344,0.00135344
21,626.769,1.88688,2.16922,1.8322,0.43257,0.36896,0.35357,0.14992,1.60468,6.74452,1.5219,0.00133693,0.00133693,0.00133693
22,656.298,1.86097,2.16115,1.80746,0.39154,0.36335,0.32384,0.12613,1.60535,37.3916,1.51929,0.00132043,0.00132043,0.00132043
23,685.614,1.8634,2.16167,1.82293,0.43162,0.35602,0.34858,0.14556,1.59864,37.1658,1.50958,0.00130393,0.00130393,0.00130393
24,714.632,1.87834,2.16868,1.82011,0.38271,0.37609,0.31504,0.1274,1.64243,6.28169,1.55644,0.00128742,0.00128742,0.00128742
25,744.014,1.8442,2.13842,1.80578,0.31792,0.30359,0.24609,0.09507,1.71661,40.2956,1.57445,0.00127092,0.00127092,0.00127092
26,773.21,1.84966,2.12883,1.81014,0.42515,0.36806,0.35535,0.14504,1.63557,15.174,1.5638,0.00125442,0.00125442,0.00125442
27,802.487,1.83081,2.06947,1.77286,0.39415,0.35129,0.32944,0.13461,1.59057,7.92253,1.50554,0.00123791,0.00123791,0.00123791
28,832.175,1.83737,2.07789,1.78315,0.43672,0.36947,0.33811,0.13284,1.66739,10.8654,1.54116,0.00122141,0.00122141,0.00122141
29,861.641,1.84337,2.12672,1.80844,0.33604,0.30085,0.25686,0.10002,1.72308,23.0353,1.55834,0.00120491,0.00120491,0.00120491
30,890.802,1.84294,2.10753,1.80619,0.4378,0.36071,0.35399,0.13953,1.68725,9.16867,1.57263,0.0011884,0.0011884,0.0011884
31,920.205,1.82113,2.07834,1.78646,0.44313,0.38291,0.36425,0.14836,1.60648,22.7987,1.5209,0.0011719,0.0011719,0.0011719
32,949.377,1.80933,2.04137,1.77056,0.43464,0.36553,0.36816,0.15562,1.5779,9.54271,1.49207,0.0011554,0.0011554,0.0011554
33,978.766,1.81234,2.05957,1.7736,0.4239,0.40335,0.36722,0.14802,1.60827,25.4265,1.51632,0.00113889,0.00113889,0.00113889
34,1007.87,1.81176,2.05269,1.76853,0.42124,0.39282,0.367,0.15331,1.60876,6.55118,1.4905,0.00112239,0.00112239,0.00112239
35,1037.15,1.79507,2.02477,1.76039,0.47245,0.36648,0.3669,0.1478,1.62271,12.7971,1.51757,0.00110589,0.00110589,0.00110589
36,1066.44,1.8135,2.0426,1.77306,0.3975,0.41604,0.36784,0.15388,1.56927,18.1737,1.47668,0.00108938,0.00108938,0.00108938
37,1095.5,1.7879,2.01468,1.75819,0.40548,0.36573,0.33372,0.13846,1.63493,6.47182,1.53781,0.00107288,0.00107288,0.00107288
