epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1124.68,1.77663,1.98167,1.74444,0.44686,0.40084,0.37818,0.15765,1.61579,10.9233,1.50594,0.00105638,0.00105638,0.00105638
39,1153.85,1.79205,2.03089,1.7669,0.46876,0.42607,0.40087,0.16928,1.60653,5.07806,1.50314,0.00103987,0.00103987,0.00103987
40,1182.96,1.77602,1.98368,1.75444,0.46509,0.39838,0.39239,0.16233,1.6386,8.23679,1.53725,0.00102337,0.00102337,0.00102337
41,1212.12,1.7918,1.98109,1.74814,0.4889,0.41794,0.4156,0.1741,1.59641,3.2659,1.51404,0.00100687,0.00100687,0.00100687
42,1241.36,1.76872,1.96666,1.73324,0.48224,0.39622,0.38404,0.16148,1.62217,10.7275,1.51356,0.000990365,0.000990365,0.000990365
43,1270.74,1.75393,1.96141,1.73264,0.40681,0.40277,0.3548,0.14736,1.59586,9.42024,1.52262,0.000973861,0.000973861,0.000973861
44,1299.93,1.77436,1.95846,1.73191,0.49171,0.39671,0.40765,0.17004,1.57637,9.51412,1.48745,0.000957358,0.000957358,0.000957358
45,1329.11,1.77567,1.95915,1.73732,0.48609,0.4174,0.41561,0.17846,1.59595,11.5539,1.51139,0.000940855,0.000940855,0.000940855
46,1358.48,1.7546,1.91846,1.72076,0.43064,0.40341,0.37811,0.15637,1.61467,20.5941,1.51492,0.000924352,0.000924352,0.000924352
47,1387.51,1.75563,1.93067,1.7195,0.47665,0.42949,0.40755,0.17352,1.57508,7.78774,1.49641,0.000907848,0.000907848,0.000907848
48,1416.73,1.73706,1.90246,1.70927,0.45469,0.4194,0.40473,0.17473,1.60324,9.797,1.50714,0.000891345,0.000891345,0.000891345
49,1445.9,1.74706,1.897,1.70792,0.42421,0.42615,0.38604,0.15795,1.63795,10.5463,1.52286,0.000874842,0.000874842,0.000874842
50,1475.06,1.73894,1.86805,1.715,0.49714,0.41643,0.40545,0.17615,1.58046,4.70036,1.50664,0.000858338,0.000858338,0.000858338
51,1504.21,1.73974,1.87494,1.70117,0.43572,0.43033,0.38864,0.16466,1.62038,10.5138,1.54297,0.000841835,0.000841835,0.000841835
52,1533.4,1.75052,1.87986,1.71499,0.48026,0.39306,0.39269,0.16469,1.56025,10.6867,1.47836,0.000825332,0.000825332,0.000825332
53,1562.67,1.72667,1.85624,1.70256,0.47879,0.40063,0.42123,0.17223,1.60504,18.4384,1.49296,0.000808828,0.000808828,0.000808828
54,1591.65,1.72182,1.83035,1.69305,0.48951,0.40564,0.41665,0.17507,1.59924,4.79588,1.51428,0.000792325,0.000792325,0.000792325
55,1620.78,1.71604,1.84769,1.69854,0.4649,0.44043,0.42878,0.1834,1.6085,11.4498,1.5242,0.000775822,0.000775822,0.000775822
56,1649.98,1.70461,1.84402,1.68007,0.46889,0.43112,0.41592,0.17134,1.61973,6.26456,1.49892,0.000759318,0.000759318,0.000759318
57,1679.22,1.69713,1.80931,1.68384,0.48496,0.40627,0.42094,0.17567,1.60995,8.44402,1.51415,0.000742815,0.000742815,0.000742815
58,1708.61,1.69971,1.79089,1.68354,0.50088,0.41447,0.41706,0.17215,1.6258,8.01505,1.52683,0.000726312,0.000726312,0.000726312
59,1738.22,1.67166,1.78875,1.65949,0.45507,0.44449,0.41926,0.1803,1.57196,12.6473,1.48575,0.000709809,0.000709809,0.000709809
60,1767.76,1.69626,1.76571,1.66462,0.43733,0.4069,0.36694,0.15136,1.67328,14.4742,1.53174,0.000693305,0.000693305,0.000693305
61,1796.92,1.69352,1.7963,1.66319,0.4553,0.44159,0.42724,0.18251,1.63939,8.73458,1.53452,0.000676802,0.000676802,0.000676802
62,1826.09,1.6797,1.76115,1.65264,0.45661,0.46243,0.43707,0.18264,1.5972,6.02342,1.49328,0.000660299,0.000660299,0.000660299
63,1855.37,1.68345,1.76761,1.66019,0.47068,0.45853,0.43842,0.18298,1.60566,8.56296,1.48375,0.000643795,0.000643795,0.000643795
64,1884.44,1.67651,1.73041,1.6452,0.454,0.43321,0.42582,0.17892,1.62195,8.01206,1.5165,0.000627292,0.000627292,0.000627292
65,1914,1.68051,1.74497,1.64797,0.46064,0.4306,0.41009,0.17652,1.61556,18.8219,1.52708,0.000610789,0.000610789,0.000610789
66,1943.45,1.66633,1.72208,1.64193,0.43382,0.46214,0.41709,0.17374,1.63041,9.71402,1.52502,0.000594286,0.000594286,0.000594286
67,1972.7,1.64804,1.69838,1.63149,0.50859,0.40865,0.42688,0.18034,1.62636,7.68034,1.51726,0.000577782,0.000577782,0.000577782
68,2002.02,1.65499,1.69206,1.62716,0.49417,0.41067,0.42343,0.17946,1.61845,5.63224,1.52066,0.000561279,0.000561279,0.000561279
69,2031.49,1.64768,1.67772,1.62678,0.47045,0.42676,0.42372,0.17906,1.58716,9.09608,1.49554,0.000544776,0.000544776,0.000544776
70,2061.27,1.64343,1.69607,1.62441,0.49984,0.42409,0.43102,0.18121,1.61951,5.62528,1.51059,0.000528272,0.000528272,0.000528272
71,2090.7,1.61627,1.63801,1.60097,0.47954,0.44684,0.43713,0.183,1.62354,8.26143,1.53074,0.000511769,0.000511769,0.000511769
72,2120.31,1.61729,1.63167,1.59961,0.46807,0.44976,0.43421,0.18359,1.61352,7.952,1.52082,0.000495266,0.000495266,0.000495266
73,2149.7,1.6098,1.63116,1.6047,0.46427,0.45034,0.43279,0.18384,1.63067,6.39295,1.52402,0.000478762,0.000478762,0.000478762
74,2179.4,1.62105,1.6374,1.60548,0.5038,0.41354,0.42956,0.17821,1.63558,5.58959,1.52011,0.000462259,0.000462259,0.000462259
75,2209.13,1.61641,1.62798,1.60313,0.48297,0.44257,0.43058,0.18421,1.63878,7.25899,1.53919,0.000445756,0.000445756,0.000445756
76,2239.07,1.60837,1.59323,1.59154,0.47192,0.45333,0.43701,0.18678,1.61117,5.76442,1.51142,0.000429253,0.000429253,0.000429253
77,2269.03,1.60184,1.59605,1.58444,0.4673,0.4553,0.43037,0.17932,1.64101,4.39211,1.53055,0.000412749,0.000412749,0.000412749
78,2298.53,1.58695,1.60633,1.57793,0.50719,0.42305,0.43712,0.18077,1.63629,8.27682,1.52741,0.000396246,0.000396246,0.000396246
79,2327.83,1.59376,1.57822,1.57692,0.47211,0.4555,0.43379,0.18235,1.62283,5.89733,1.50396,0.000379743,0.000379743,0.000379743
80,2357.03,1.59415,1.5794,1.58267,0.45323,0.46704,0.42848,0.1799,1.65761,4.87042,1.5396,0.000363239,0.000363239,0.000363239
81,2386.42,1.58439,1.54519,1.57306,0.44962,0.44456,0.41559,0.17264,1.66497,13.7315,1.5607,0.000346736,0.000346736,0.000346736
82,2416.04,1.59139,1.54765,1.57301,0.46424,0.45644,0.43215,0.18008,1.66927,6.54917,1.54831,0.000330233,0.000330233,0.000330233
83,2446.08,1.58877,1.53686,1.58019,0.46599,0.44623,0.41841,0.17561,1.6714,9.58452,1.55137,0.000313729,0.000313729,0.000313729
84,2476.37,1.5756,1.54987,1.56665,0.48659,0.42274,0.42318,0.17996,1.67619,7.89119,1.57153,0.000297226,0.000297226,0.000297226
85,2506.38,1.57124,1.54539,1.56414,0.49598,0.42518,0.42761,0.18023,1.67298,6.56333,1.57044,0.000280723,0.000280723,0.000280723
86,2536.34,1.55053,1.52974,1.56046,0.48876,0.46406,0.4389,0.182,1.68007,6.60761,1.56995,0.00026422,0.00026422,0.00026422
87,2566.35,1.54927,1.52142,1.55217,0.47979,0.44938,0.43417,0.18204,1.67266,6.41396,1.57342,0.000247716,0.000247716,0.000247716
88,2596.35,1.54973,1.48687,1.54659,0.49392,0.46198,0.43077,0.17358,1.65885,6.70444,1.55562,0.000231213,0.000231213,0.000231213
89,2626.16,1.54383,1.48821,1.54407,0.47119,0.44669,0.42482,0.1748,1.67822,6.63631,1.57288,0.00021471,0.00021471,0.00021471
90,2656.29,1.54262,1.47166,1.54199,0.47773,0.45707,0.42727,0.17319,1.69015,6.65552,1.57917,0.000198206,0.000198206,0.000198206
91,2701.61,1.58439,1.47016,1.58721,0.47985,0.4363,0.43346,0.17848,1.69079,7.70191,1.58306,0.000181703,0.000181703,0.000181703
92,2730.76,1.55938,1.39155,1.574,0.49081,0.44354,0.43778,0.17913,1.69924,6.66132,1.59123,0.0001652,0.0001652,0.0001652
93,2759.76,1.54008,1.38862,1.56281,0.43709,0.4722,0.4185,0.17482,1.69299,8.86182,1.59294,0.000148696,0.000148696,0.000148696
94,2788.93,1.53274,1.37863,1.55745,0.4855,0.4549,0.43756,0.1803,1.66932,6.23523,1.57851,0.000132193,0.000132193,0.000132193
95,2819.06,1.52008,1.34024,1.54418,0.46377,0.4626,0.42225,0.17549,1.67991,5.90464,1.58575,0.00011569,0.00011569,0.00011569
96,2849.86,1.51242,1.32144,1.5318,0.47518,0.46612,0.43319,0.17842,1.7008,5.35168,1.60529,9.91865e-05,9.91865e-05,9.91865e-05
97,2878.96,1.51183,1.33105,1.53963,0.47047,0.45037,0.43641,0.18062,1.68773,5.56772,1.59605,8.26832e-05,8.26832e-05,8.26832e-05
98,2908.09,1.50719,1.32138,1.5413,0.46906,0.47157,0.43756,0.18287,1.68394,5.60546,1.59995,6.61799e-05,6.61799e-05,6.61799e-05
99,2937.65,1.49313,1.29862,1.52624,0.48076,0.45253,0.43304,0.17949,1.69196,5.01846,1.60082,4.96766e-05,4.96766e-05,4.96766e-05
100,2966.86,1.4972,1.30337,1.524,0.47189,0.46173,0.43637,0.1796,1.70343,5.59421,1.62006,3.31733e-05,3.31733e-05,3.31733e-05
