epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,348.333,0.68516,0.98981,0.69219,0.94695,0,0.55092,0.52107,0.53361,0.43503,0.48138,0.46552,0.48627,0.36241,0.77922,1.65837,1.34221,0.97486,0,0.00101377,0.00101377,0.00101377
29,360.397,0.69386,1.31774,0.71253,0.93897,0,0.55092,0.52107,0.53361,0.43503,0.48138,0.46552,0.48627,0.36241,0.77922,1.65837,1.34221,0.97486,0,0.00103622,0.00103622,0.00103622
30,372.608,0.63263,0.8546,0.63606,0.90816,0,0.53519,0.52107,0.58787,0.45212,0.47513,0.46552,0.49242,0.3878,0.7629,1.34274,1.00472,0.94998,0,0.00105768,0.00105768,0.00105768
31,384.865,0.75766,0.98593,0.72626,0.94657,0,0.63987,0.52107,0.59773,0.46106,0.97729,0.46552,0.5029,0.37261,0.72056,1.43574,0.95499,0.96973,0,0.00107815,0.00107815,0.00107815
32,397.131,0.65811,0.88356,0.74895,0.94087,0,0.67499,0.52107,0.59837,0.46328,0.97998,0.46552,0.4966,0.37053,0.76784,1.87994,0.9051,0.98782,0,0.00109763,0.00109763,0.00109763
33,409.214,0.71317,1.02913,0.69756,0.98564,0,0.67499,0.52107,0.59837,0.46328,0.97998,0.46552,0.4966,0.37053,0.76784,1.87994,0.9051,0.98782,0,0.00111612,0.00111612,0.00111612
34,421.465,0.70199,1.02304,0.7376,0.93752,0,0.59424,0.53959,0.63245,0.49372,0.4989,0.48404,0.52802,0.39801,0.71456,1.93454,0.83939,0.96586,0,0.00112239,0.00112239,0.00112239
35,433.837,0.63511,0.92944,0.64867,0.88448,0,0.70107,0.64332,0.67623,0.53413,0.62397,0.58268,0.54565,0.41598,0.65623,1.65654,0.82396,0.93993,0,0.00110589,0.00110589,0.00110589
36,446.339,0.74744,0.98339,0.6988,0.93918,0,0.64918,0.63863,0.65342,0.51623,0.58194,0.57203,0.53987,0.40967,0.643,1.66366,0.90796,0.93907,0,0.00108938,0.00108938,0.00108938
37,458.423,0.61179,0.95679,0.65139,0.89972,0,0.64918,0.63863,0.65342,0.51623,0.58194,0.57203,0.53987,0.40967,0.643,1.66366,0.90796,0.93907,0,0.00107288,0.00107288,0.00107288
38,470.635,0.65568,0.99744,0.72848,0.93134,0,0.54689,0.55195,0.64633,0.51049,0.48455,0.48404,0.52859,0.42049,0.64764,1.62838,0.93741,0.93633,0,0.00105638,0.00105638,0.00105638
39,483.101,0.67257,0.94145,0.6793,0.94321,0,0.66505,0.71131,0.69793,0.55278,0.56714,0.5787,0.53606,0.41077,0.63563,1.5001,0.84305,0.92707,0,0.00103987,0.00103987,0.00103987
40,495.523,0.65228,0.90377,0.65483,0.88832,0,0.74837,0.78421,0.74745,0.55913,0.62241,0.64954,0.56369,0.41971,0.63311,1.55885,0.74082,0.91673,0,0.00102337,0.00102337,0.00102337
41,507.563,0.5813,0.91981,0.68799,0.91105,0,0.74837,0.78421,0.74745,0.55913,0.62241,0.64954,0.56369,0.41971,0.63311,1.55885,0.74082,0.91673,0,0.00100687,0.00100687,0.00100687
42,519.726,0.63103,0.88661,0.63943,0.91021,0,0.69633,0.80877,0.78175,0.56265,0.56351,0.66794,0.57795,0.45199,0.63727,1.6227,0.71029,0.91938,0,0.000990365,0.000990365,0.000990365
43,531.844,0.58816,0.92679,0.62385,0.90331,0,0.84139,0.77464,0.84904,0.62689,0.72256,0.66922,0.64831,0.53092,0.63526,1.46404,0.73762,0.92782,0,0.000973861,0.000973861,0.000973861
44,544.082,0.65242,0.9136,0.63856,0.91443,0,0.69869,0.7433,0.78024,0.61347,0.62367,0.66922,0.62589,0.4798,0.60048,1.77934,0.75331,0.92538,0,0.000957358,0.000957358,0.000957358
45,556.293,0.64162,0.98637,0.67132,0.92334,0,0.69869,0.7433,0.78024,0.61347,0.62367,0.66922,0.62589,0.4798,0.60048,1.77934,0.75331,0.92538,0,0.000940855,0.000940855,0.000940855
46,568.463,0.61242,0.92372,0.6157,0.88649,0,0.68316,0.79885,0.75933,0.59505,0.66581,0.63057,0.6031,0.46305,0.6173,2.02686,0.71503,0.92541,0,0.000924352,0.000924352,0.000924352
47,580.558,0.63506,0.83451,0.6417,0.91511,0,0.78541,0.79669,0.78942,0.62776,0.94849,0.59515,0.65514,0.50115,0.57809,2.0468,0.69759,0.90665,0,0.000907848,0.000907848,0.000907848
48,593.181,0.60746,0.97283,0.6357,0.89067,0,0.76997,0.75702,0.8084,0.63919,0.96523,0.60867,0.66538,0.54701,0.57273,1.82406,0.71325,0.90116,0,0.000891345,0.000891345,0.000891345
49,605.882,0.60754,1.01752,0.622,0.93062,0,0.76997,0.75702,0.8084,0.63919,0.96523,0.60867,0.66538,0.54701,0.57273,1.82406,0.71325,0.90116,0,0.000874842,0.000874842,0.000874842
50,618.178,0.56325,0.85878,0.59348,0.89192,0,0.87493,0.72271,0.80554,0.63929,0.96945,0.61156,0.66116,0.54348,0.58772,1.72273,0.6795,0.90755,0,0.000858338,0.000858338,0.000858338
51,630.459,0.61603,0.90272,0.61066,0.87222,0,0.7499,0.76181,0.77157,0.60174,0.96923,0.6481,0.71057,0.51715,0.66043,1.72558,0.66887,0.92426,0,0.000841835,0.000841835,0.000841835
52,642.615,0.56681,0.78289,0.57242,0.88727,0,0.76624,0.77155,0.77126,0.60041,0.71004,0.69438,0.71142,0.51674,0.68775,1.67636,0.68922,0.92322,0,0.000825332,0.000825332,0.000825332
53,654.82,0.59965,0.79866,0.61732,0.93905,0,0.76624,0.77155,0.77126,0.60041,0.71004,0.69438,0.71142,0.51674,0.68775,1.67636,0.68922,0.92322,0,0.000808828,0.000808828,0.000808828
54,666.898,0.59867,0.85385,0.61371,0.91965,0,0.7772,0.7433,0.72615,0.57532,0.69391,0.66922,0.62792,0.47763,0.627,1.63982,0.67501,0.91644,0,0.000792325,0.000792325,0.000792325
55,678.957,0.62518,0.94263,0.60849,0.90691,0,0.81818,0.7433,0.75416,0.56766,0.68217,0.63218,0.59164,0.46009,0.62104,1.60887,0.70482,0.92267,0,0.000775822,0.000775822,0.000775822
56,691.085,0.56279,0.81165,0.57709,0.89109,0,0.79837,0.78033,0.77997,0.60361,0.64398,0.6507,0.59849,0.45785,0.66926,1.62582,0.7088,0.93303,0,0.000759318,0.000759318,0.000759318
57,703.212,0.64297,0.95388,0.63053,0.92011,0,0.79837,0.78033,0.77997,0.60361,0.64398,0.6507,0.59849,0.45785,0.66926,1.62582,0.7088,0.93303,0,0.000742815,0.000742815,0.000742815
58,715.321,0.58773,0.86545,0.60322,0.90626,0,0.72727,0.79838,0.73361,0.58452,0.84921,0.59515,0.61064,0.47562,0.66644,1.57998,0.69993,0.93213,0,0.000726312,0.000726312,0.000726312
59,727.57,0.58104,0.78108,0.59288,0.88964,0,0.71508,0.78033,0.70888,0.56695,0.61581,0.6507,0.59611,0.45585,0.61526,1.5271,0.67087,0.92483,0,0.000709809,0.000709809,0.000709809
